REGION,TYPE OF OFFENCE,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4
Region Hovedstaden,"Nature of the offence, total",44860,49581,47008,48586,45973,48500,51172,52903,47281,48900,55525,54568
Region Hovedstaden,"Penal Code, total",38580,42771,40359,41869,39508,41370,44073,46166,40912,42595,49337,48618
Region Hovedstaden,"Penal code, unspecified",0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,"Sexual offenses, total",156,192,151,146,121,191,193,143,120,158,176,127
Region Hovedstaden,"Incest, etc.",3,2,5,2,3,2,3,1,7,4,3,1
Region Hovedstaden,"Rape, etc.",32,43,38,37,30,40,49,28,24,33,32,32
Region Hovedstaden,Heterosexual offence against a child under 12 (Repealed in 2013),10,15,6,5,1,5,3,3,6,3,8,5
Region Hovedstaden,Sexual offence against a child under 12 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Any other kind of heterosexual offence (Repealed in 2013),7,6,10,12,8,15,9,5,13,10,23,9
Region Hovedstaden,Sexual offence against a child under 15 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Any other kind of sexual offence (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Homosexual offence against a child under 12 (Repealed in 2013),0,1,0,0,0,1,1,0,0,0,0,0
Region Hovedstaden,Any other kind of homosexual offence (Repealed in 2013),2,1,0,1,0,0,0,0,1,0,1,0
Region Hovedstaden,Offence against public decency by groping,31,26,26,33,21,37,39,32,22,34,39,25
Region Hovedstaden,Offence against public decency by indecent exposure,27,45,34,21,15,30,36,35,16,23,25,15
Region Hovedstaden,Any other kind of offence against public decency,28,29,23,23,31,30,40,19,17,27,28,29
Region Hovedstaden,"Prostitution, etc.",16,24,9,12,12,31,13,20,14,24,17,11
Region Hovedstaden,"Crimes of violence, total",1604,1592,1505,1580,1422,1479,1340,1386,1337,1468,1399,1294
Region Hovedstaden,Violence against public authority,317,350,276,276,286,256,234,233,210,258,224,213
Region Hovedstaden,Unlawful assembly/disturbance of public order,139,25,13,21,0,6,2,2,5,2,11,17
Region Hovedstaden,Homicide,1,4,1,4,8,1,5,2,9,5,5,2
Region Hovedstaden,Attempted homicide,14,13,22,23,29,21,28,32,23,30,21,25
Region Hovedstaden,Coercive control,0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Common assault,694,762,706,796,676,754,688,696,659,702,649,642
Region Hovedstaden,Assault causing actual bodily harm,134,144,179,166,131,128,110,123,112,147,137,107
Region Hovedstaden,Particularly aggravated assault,2,1,0,1,1,0,4,2,2,1,1,1
